step,time_s,vehicle_id_leader,leader_lane_pos_m,vehicle_id_follower,follower_lane_pos_m,leader_speed_mps,follower_speed_mps,gap_m,safe_dist_m,action
495,49.600,leader,206.213,follower,199.191,0.000,0.023,7.022,5.023,Leader: stopped (71/80) | Follower: follow
496,49.700,leader,206.213,follower,199.193,0.000,0.020,7.020,5.020,Leader: stopped (72/80) | Follower: follow
497,49.800,leader,206.213,follower,199.195,0.000,0.018,7.018,5.018,Leader: stopped (73/80) | Follower: follow
498,49.900,leader,206.213,follower,199.197,0.000,0.017,7.017,5.017,Leader: stopped (74/80) | Follower: follow
499,50.000,leader,206.213,follower,199.198,0.000,0.015,7.015,5.015,Leader: stopped (75/80) | Follower: follow
500,50.100,leader,206.213,follower,199.200,0.000,0.014,7.014,5.014,Leader: stopped (76/80) | Follower: follow
501,50.200,leader,206.213,follower,199.201,0.000,0.012,7.012,5.012,Leader: stopped (77/80) | Follower: follow
502,50.300,leader,206.213,follower,199.202,0.000,0.011,7.011,5.011,Leader: stopped (78/80) | Follower: follow
503,50.400,leader,206.213,follower,199.203,0.000,0.010,7.010,5.010,Leader: stopped (79/80) | Follower: follow
504,50.500,leader,206.213,follower,199.204,0.000,0.009,7.009,5.009,Leader: stopped (80/80) | Follower: follow
505,50.600,leader,206.213,follower,199.205,0.000,0.008,7.009,5.008,Leader: resuming | Follower: follow
506,50.700,leader,206.223,follower,199.205,0.100,0.007,7.018,5.007,Leader: cruise | Follower: follow
507,50.800,leader,206.243,follower,199.207,0.200,0.016,7.036,5.016,Leader: cruise | Follower: follow
508,50.900,leader,206.273,follower,199.211,0.300,0.035,7.063,5.035,Leader: cruise | Follower: follow
509,51.000,leader,206.313,follower,199.216,0.400,0.059,7.097,5.059,Leader: cruise | Follower: follow
510,51.100,leader,206.363,follower,199.226,0.500,0.096,7.137,5.097,Leader: cruise | Follower: follow
511,51.200,leader,206.423,follower,199.239,0.600,0.130,7.184,5.132,Leader: cruise | Follower: follow
512,51.300,leader,206.493,follower,199.257,0.700,0.176,7.237,5.180,Leader: cruise | Follower: follow
513,51.400,leader,206.573,follower,199.280,0.800,0.236,7.293,5.243,Leader: cruise | Follower: follow
514,51.500,leader,206.663,follower,199.311,0.900,0.309,7.352,5.320,Leader: cruise | Follower: follow
