step,time_s,vehicle_id,lane_pos_m,speed_mps,leader_of_this_vehicle,gap_to_leader_m,safe_dist_m,action
214,21.500,follower_03,57.904,4.881,follower_02,12.592,12.528,follow
214,21.500,follower_04,45.438,4.723,follower_03,12.466,12.201,follow
215,21.600,leader,96.281,4.960,,,12.694,leader_state:normal
215,21.600,follower_01,83.615,4.816,leader,12.666,12.393,follow
215,21.600,follower_02,70.985,4.891,follower_01,12.630,12.548,follow
215,21.600,follower_03,58.417,5.123,follower_02,12.568,13.039,brake (too close to follower_02)
215,21.600,follower_04,45.932,4.946,follower_03,12.484,12.664,brake (too close to follower_03)
216,21.700,leader,96.779,4.974,,,12.722,leader_state:normal
216,21.700,follower_01,84.121,5.062,leader,12.657,12.910,brake (too close to leader)
216,21.700,follower_02,71.499,5.145,follower_01,12.622,13.087,brake (too close to follower_01)
216,21.700,follower_03,58.913,4.964,follower_02,12.586,12.702,brake (too close to follower_02)
216,21.700,follower_04,46.412,4.793,follower_03,12.501,12.345,follow
217,21.800,leader,97.274,4.959,,,12.691,leader_state:normal
217,21.800,follower_01,84.612,4.906,leader,12.663,12.580,follow
217,21.800,follower_02,71.998,4.986,follower_01,12.614,12.748,brake (too close to follower_01)
217,21.800,follower_03,59.394,4.811,follower_02,12.604,12.382,follow
217,21.800,follower_04,46.910,4.987,follower_03,12.484,12.751,brake (too close to follower_03)
218,21.900,leader,97.770,4.954,,,12.681,leader_state:normal
218,21.900,follower_01,85.131,5.192,leader,12.639,13.186,brake (too close to leader)
218,21.900,follower_02,72.481,4.832,follower_01,12.650,12.426,follow
218,21.900,follower_03,59.897,5.033,follower_02,12.584,12.847,brake (too close to follower_02)
218,21.900,follower_04,47.394,4.833,follower_03,12.504,12.428,follow
219,22.000,leader,98.266,4.960,,,12.694,leader_state:normal
219,22.000,follower_01,85.634,5.031,leader,12.632,12.843,brake (too close to leader)
219,22.000,follower_02,72.981,4.998,follower_01,12.653,12.773,brake (too close to follower_01)
219,22.000,follower_03,60.385,4.877,follower_02,12.596,12.520,follow
219,22.000,follower_04,47.903,5.089,follower_03,12.482,12.966,brake (too close to follower_03)
220,22.100,leader,98.762,4.961,,,12.696,leader_state:normal
220,22.100,follower_01,86.122,4.875,leader,12.640,12.516,follow
220,22.100,follower_02,73.465,4.843,follower_01,12.656,12.449,follow
220,22.100,follower_03,60.900,5.151,follower_02,12.565,13.099,brake (too close to follower_02)
220,22.100,follower_04,48.396,4.931,follower_03,12.504,12.633,brake (too close to follower_03)
221,22.200,leader,99.261,4.992,,,12.760,leader_state:normal
221,22.200,follower_01,86.630,5.088,leader,12.631,12.964,brake (too close to leader)
221,22.200,follower_02,73.974,5.090,follower_01,12.656,12.968,brake (too close to follower_01)
221,22.200,follower_03,61.399,4.992,follower_02,12.575,12.760,brake (too close to follower_02)
221,22.200,follower_04,48.874,4.779,follower_03,12.526,12.316,follow
222,22.300,leader,99.761,4.997,,,12.772,leader_state:normal
222,22.300,follower_01,87.123,4.930,leader,12.638,12.631,follow
222,22.300,follower_02,74.468,4.932,follower_01,12.656,12.635,follow
222,22.300,follower_03,61.883,4.837,follower_02,12.585,12.437,follow
222,22.300,follower_04,49.370,4.963,follower_03,12.513,12.701,brake (too close to follower_03)
223,22.400,leader,100.258,4.974,,,12.724,leader_state:normal
223,22.400,follower_01,87.635,5.118,leader,12.623,13.029,brake (too close to leader)
223,22.400,follower_02,74.979,5.115,follower_01,12.656,13.022,brake (too close to follower_01)
223,22.400,follower_03,62.382,4.993,follower_02,12.597,12.763,brake (too close to follower_02)
223,22.400,follower_04,49.851,4.810,follower_03,12.531,12.380,follow
224,22.500,leader,100.758,5.000,,,12.777,leader_state:normal
224,22.500,follower_01,88.131,4.960,leader,12.627,12.693,brake (too close to leader)
224,22.500,follower_02,75.475,4.956,follower_01,12.657,12.686,brake (too close to follower_01)
224,22.500,follower_03,62.866,4.838,follower_02,12.609,12.439,follow
224,22.500,follower_04,50.362,5.109,follower_03,12.504,13.009,brake (too close to follower_03)
225,22.600,leader,101.256,4.976,,,12.728,leader_state:normal
225,22.600,follower_01,88.612,4.806,leader,12.644,12.373,follow
225,22.600,follower_02,75.955,4.803,follower_01,12.657,12.366,follow
225,22.600,follower_03,63.373,5.071,follower_02,12.582,12.927,brake (too close to follower_02)
225,22.600,follower_04,50.857,4.951,follower_03,12.516,12.674,brake (too close to follower_03)
226,22.700,leader,101.754,4.976,,,12.727,leader_state:normal
226,22.700,follower_01,89.117,5.048,leader,12.637,12.879,brake (too close to leader)
226,22.700,follower_02,76.456,5.014,follower_01,12.660,12.807,brake (too close to follower_01)
226,22.700,follower_03,63.864,4.914,follower_02,12.592,12.596,brake (too close to follower_02)
226,22.700,follower_04,51.337,4.798,follower_03,12.528,12.355,follow
227,22.800,leader,102.249,4.958,,,12.690,leader_state:normal
227,22.800,follower_01,89.606,4.891,leader,12.644,12.550,follow
227,22.800,follower_02,76.942,4.859,follower_01,12.664,12.482,follow
227,22.800,follower_03,64.341,4.762,follower_02,12.602,12.281,follow
227,22.800,follower_04,51.842,5.053,follower_03,12.499,12.889,brake (too close to follower_03)
228,22.900,leader,102.746,4.970,,,12.715,leader_state:normal
228,22.900,follower_01,90.113,5.075,leader,12.633,12.936,brake (too close to leader)
228,22.900,follower_02,77.458,5.157,follower_01,12.655,13.113,brake (too close to follower_01)
228,22.900,follower_03,64.844,5.034,follower_02,12.614,12.850,brake (too close to follower_02)
228,22.900,follower_04,52.332,4.896,follower_03,12.512,12.560,brake (too close to follower_03)
229,23.000,leader,103.244,4.974,,,12.724,leader_state:normal
229,23.000,follower_01,90.605,4.918,leader,12.639,12.605,follow
229,23.000,follower_02,77.958,4.998,follower_01,12.647,12.773,brake (too close to follower_01)
229,23.000,follower_03,65.332,4.878,follower_02,12.626,12.523,follow
229,23.000,follower_04,52.806,4.745,follower_03,12.526,12.246,follow
230,23.100,leader,103.739,4.955,,,12.682,leader_state:normal
230,23.100,follower_01,91.127,5.217,leader,12.613,13.241,brake (too close to leader)
230,23.100,follower_02,78.442,4.843,follower_01,12.685,12.449,follow
230,23.100,follower_03,65.838,5.062,follower_02,12.604,12.909,brake (too close to follower_02)
230,23.100,follower_04,53.302,4.956,follower_03,12.536,12.684,brake (too close to follower_03)
231,23.200,leader,104.237,4.972,,,12.719,leader_state:normal
231,23.200,follower_01,91.632,5.056,leader,12.604,12.895,brake (too close to leader)
231,23.200,follower_02,78.947,5.049,follower_01,12.685,12.883,brake (too close to follower_01)
231,23.200,follower_03,66.329,4.905,follower_02,12.618,12.579,follow
231,23.200,follower_04,53.782,4.802,follower_03,12.547,12.365,follow
232,23.300,leader,104.733,4.965,,,12.704,leader_state:normal
232,23.300,follower_01,92.122,4.899,leader,12.611,12.566,follow
232,23.300,follower_02,79.436,4.893,follower_01,12.686,12.554,follow
232,23.300,follower_03,66.836,5.077,follower_02,12.600,12.942,brake (too close to follower_02)
232,23.300,follower_04,54.282,5.000,follower_03,12.554,12.778,brake (too close to follower_03)
233,23.400,leader,105.231,4.979,,,12.733,leader_state:normal
233,23.400,follower_01,92.632,5.104,leader,12.598,12.998,brake (too close to leader)
233,23.400,follower_02,79.946,5.097,follower_01,12.686,12.984,brake (too close to follower_01)
233,23.400,follower_03,67.328,4.920,follower_02,12.618,12.610,follow
233,23.400,follower_04,54.766,4.845,follower_03,12.562,12.454,follow
234,23.500,leader,105.730,4.991,,,12.759,leader_state:normal
234,23.500,follower_01,93.127,4.946,leader,12.603,12.663,brake (too close to leader)
234,23.500,follower_02,80.440,4.939,follower_01,12.687,12.650,follow
234,23.500,follower_03,67.842,5.132,follower_02,12.598,13.059,brake (too close to follower_02)
234,23.500,follower_04,55.276,5.099,follower_03,12.565,12.988,brake (too close to follower_03)
235,23.600,leader,106.228,4.979,,,12.733,leader_state:normal
235,23.600,follower_01,93.606,4.793,leader,12.622,12.345,follow
235,23.600,follower_02,80.959,5.196,follower_01,12.647,13.195,brake (too close to follower_01)
235,23.600,follower_03,68.339,4.974,follower_02,12.620,12.722,brake (too close to follower_02)
235,23.600,follower_04,55.770,4.941,follower_03,12.569,12.654,brake (too close to follower_03)
236,23.700,leader,106.726,4.980,,,12.736,leader_state:normal
236,23.700,follower_01,94.111,5.050,leader,12.615,12.884,brake (too close to leader)
236,23.700,follower_02,81.463,5.035,follower_01,12.648,12.851,brake (too close to follower_01)
236,23.700,follower_03,68.821,4.820,follower_02,12.642,12.401,follow
236,23.700,follower_04,56.249,4.788,follower_03,12.572,12.336,follow
237,23.800,leader,107.226,4.999,,,12.776,leader_state:normal
237,23.800,follower_01,94.601,4.894,leader,12.625,12.555,follow
237,23.800,follower_02,81.951,4.879,follower_01,12.650,12.524,follow
237,23.800,follower_03,69.319,4.977,follower_02,12.632,12.729,brake (too close to follower_02)
237,23.800,follower_04,56.756,5.069,follower_03,12.563,12.923,brake (too close to follower_03)
238,23.900,leader,107.724,4.978,,,12.731,leader_state:normal
238,23.900,follower_01,95.109,5.085,leader,12.614,12.957,brake (too close to leader)
238,23.900,follower_02,82.460,5.094,follower_01,12.649,12.977,brake (too close to follower_01)
238,23.900,follower_03,69.801,4.823,follower_02,12.659,12.407,follow
238,23.900,follower_04,57.247,4.912,follower_03,12.554,12.593,brake (too close to follower_03)
239,24.000,leader,108.223,4.998,,,12.774,leader_state:normal
239,24.000,follower_01,95.602,4.927,leader,12.622,12.625,brake (too close to leader)
239,24.000,follower_02,82.954,4.936,follower_01,12.648,12.644,follow
239,24.000,follower_03,70.299,4.985,follower_02,12.654,12.747,brake (too close to follower_02)
239,24.000,follower_04,57.723,4.760,follower_03,12.576,12.277,follow
240,24.100,leader,108.722,4.981,,,12.738,leader_state:normal
240,24.100,follower_01,96.079,4.775,leader,12.642,12.308,follow
240,24.100,follower_02,83.468,5.145,follower_01,12.611,13.086,brake (too close to follower_01)
240,24.100,follower_03,70.783,4.831,follower_02,12.686,12.424,follow
240,24.100,follower_04,58.227,5.040,follower_03,12.555,12.863,brake (too close to follower_03)
241,24.200,leader,109.219,4.976,,,12.726,leader_state:normal
241,24.200,follower_01,96.576,4.965,leader,12.643,12.704,brake (too close to leader)
241,24.200,follower_02,83.967,4.986,follower_01,12.609,12.748,brake (too close to follower_01)
241,24.200,follower_03,71.287,5.043,follower_02,12.680,12.870,brake (too close to follower_02)
241,24.200,follower_04,58.716,4.884,follower_03,12.571,12.535,follow
242,24.300,leader,109.717,4.979,,,12.734,leader_state:normal
242,24.300,follower_01,97.057,4.811,leader,12.660,12.383,follow
242,24.300,follower_02,84.450,4.831,follower_01,12.607,12.425,follow
242,24.300,follower_03,71.776,4.887,follower_02,12.674,12.541,follow
242,24.300,follower_04,59.224,5.086,follower_03,12.551,12.960,brake (too close to follower_03)
243,24.400,leader,110.214,4.965,,,12.705,leader_state:normal
243,24.400,follower_01,97.562,5.051,leader,12.651,12.887,brake (too close to leader)
243,24.400,follower_02,84.958,5.075,follower_01,12.605,12.936,brake (too close to follower_01)
243,24.400,follower_03,72.287,5.113,follower_02,12.671,13.017,brake (too close to follower_02)
243,24.400,follower_04,59.717,4.928,follower_03,12.570,12.627,brake (too close to follower_03)
244,24.500,leader,110.709,4.956,,,12.686,leader_state:normal
244,24.500,follower_01,98.052,4.895,leader,12.658,12.557,follow
244,24.500,follower_02,85.449,4.918,follower_01,12.602,12.605,brake (too close to follower_01)
244,24.500,follower_03,72.782,4.954,follower_02,12.667,12.682,brake (too close to follower_02)
244,24.500,follower_04,60.195,4.776,follower_03,12.588,12.310,follow
245,24.600,leader,111.209,4.994,,,12.764,leader_state:normal
245,24.600,follower_01,98.570,5.188,leader,12.638,13.178,brake (too close to leader)
245,24.600,follower_02,85.926,4.765,follower_01,12.644,12.289,follow
245,24.600,follower_03,73.262,4.801,follower_02,12.663,12.362,follow
245,24.600,follower_04,60.694,4.991,follower_03,12.569,12.759,brake (too close to follower_03)
246,24.700,leader,111.704,4.951,,,12.674,leader_state:normal
246,24.700,follower_01,99.073,5.027,leader,12.631,12.835,brake (too close to leader)
246,24.700,follower_02,86.427,5.015,follower_01,12.646,12.809,brake (too close to follower_01)
246,24.700,follower_03,73.766,5.039,follower_02,12.661,12.860,brake (too close to follower_02)
246,24.700,follower_04,61.178,4.837,follower_03,12.589,12.436,follow
247,24.800,leader,112.201,4.978,,,12.732,leader_state:normal
247,24.800,follower_01,99.560,4.872,leader,12.641,12.509,follow
247,24.800,follower_02,86.913,4.859,follower_01,12.647,12.483,follow
247,24.800,follower_03,74.255,4.883,follower_02,12.659,12.532,follow
247,24.800,follower_04,61.690,5.129,follower_03,12.564,13.051,brake (too close to follower_03)
248,24.900,leader,112.697,4.955,,,12.684,leader_state:normal
248,24.900,follower_01,100.064,5.035,leader,12.633,12.851,brake (too close to leader)
248,24.900,follower_02,87.415,5.014,follower_01,12.649,12.808,brake (too close to follower_01)
248,24.900,follower_03,74.773,5.181,follower_02,12.642,13.164,brake (too close to follower_02)
248,24.900,follower_04,62.187,4.970,follower_03,12.585,12.715,brake (too close to follower_03)
249,25.000,leader,113.197,4.996,,,12.770,leader_state:normal
249,25.000,follower_01,100.552,4.879,leader,12.645,12.524,follow
249,25.000,follower_02,87.901,4.859,follower_01,12.651,12.483,follow
249,25.000,follower_03,75.275,5.021,follower_02,12.626,12.822,brake (too close to follower_02)
249,25.000,follower_04,62.669,4.816,follower_03,12.606,12.394,follow
250,25.100,leader,113.695,4.984,,,12.744,leader_state:normal
250,25.100,follower_01,101.061,5.094,leader,12.634,12.978,brake (too close to leader)
250,25.100,follower_02,88.416,5.157,follower_01,12.645,13.111,brake (too close to follower_01)
250,25.100,follower_03,75.761,4.866,follower_02,12.655,12.496,follow
250,25.100,follower_04,63.168,4.990,follower_03,12.593,12.757,brake (too close to follower_03)
251,25.200,leader,114.190,4.954,,,12.681,leader_state:normal
251,25.200,follower_01,101.555,4.937,leader,12.636,12.644,brake (too close to leader)
251,25.200,follower_02,88.916,4.997,follower_01,12.639,12.771,brake (too close to follower_01)
251,25.200,follower_03,76.270,5.085,follower_02,12.646,12.957,brake (too close to follower_02)
251,25.200,follower_04,63.652,4.836,follower_03,12.618,12.434,follow
252,25.300,leader,114.689,4.981,,,12.737,leader_state:normal
252,25.300,follower_01,102.033,4.784,leader,12.655,12.326,follow
252,25.300,follower_02,89.400,4.842,follower_01,12.633,12.448,follow
252,25.300,follower_03,76.763,4.927,follower_02,12.638,12.625,follow
252,25.300,follower_04,64.159,5.075,follower_03,12.604,12.936,brake (too close to follower_03)
253,25.400,leader,115.184,4.960,,,12.693,leader_state:normal
253,25.400,follower_01,102.538,5.048,leader,12.647,12.879,brake (too close to leader)
253,25.400,follower_02,89.902,5.017,follower_01,12.636,12.813,brake (too close to follower_01)
253,25.400,follower_03,77.273,5.099,follower_02,12.629,12.989,brake (too close to follower_02)
253,25.400,follower_04,64.651,4.918,follower_03,12.622,12.605,follow
254,25.500,leader,115.683,4.990,,,12.757,leader_state:normal
254,25.500,follower_01,103.027,4.892,leader,12.656,12.550,follow
254,25.500,follower_02,90.388,4.861,follower_01,12.639,12.487,follow
254,25.500,follower_03,77.767,4.941,follower_02,12.621,12.655,brake (too close to follower_02)
254,25.500,follower_04,65.158,5.071,follower_03,12.609,12.927,brake (too close to follower_03)
255,25.600,leader,116.183,4.993,,,12.764,leader_state:normal
255,25.600,follower_01,103.537,5.097,leader,12.646,12.983,brake (too close to leader)
255,25.600,follower_02,90.896,5.075,follower_01,12.641,12.936,brake (too close to follower_01)
255,25.600,follower_03,78.246,4.789,follower_02,12.650,12.336,follow
255,25.600,follower_04,65.649,4.914,follower_03,12.596,12.596,follow
256,25.700,leader,116.680,4.975,,,12.724,leader_state:normal
256,25.700,follower_01,104.031,4.939,leader,12.650,12.649,follow
256,25.700,follower_02,91.387,4.918,follower_01,12.643,12.605,follow
256,25.700,follower_03,78.745,4.991,follower_02,12.643,12.759,brake (too close to follower_02)
256,25.700,follower_04,66.159,5.096,follower_03,12.586,12.982,brake (too close to follower_03)
257,25.800,leader,117.180,4.998,,,12.773,leader_state:normal
257,25.800,follower_01,104.547,5.168,leader,12.633,13.135,brake (too close to leader)
257,25.800,follower_02,91.896,5.085,follower_01,12.652,12.958,brake (too close to follower_01)
257,25.800,follower_03,79.228,4.837,follower_02,12.667,12.436,follow
257,25.800,follower_04,66.653,4.939,follower_03,12.576,12.649,brake (too close to follower_03)
258,25.900,leader,117.676,4.955,,,12.683,leader_state:normal
258,25.900,follower_01,105.048,5.008,leader,12.627,12.794,brake (too close to leader)
258,25.900,follower_02,92.389,4.928,follower_01,12.660,12.625,follow
258,25.900,follower_03,79.732,5.035,follower_02,12.657,12.852,brake (too close to follower_02)
258,25.900,follower_04,67.131,4.786,follower_03,12.601,12.330,follow
259,26.000,leader,118.173,4.970,,,12.714,leader_state:normal
259,26.000,follower_01,105.533,4.853,leader,12.639,12.469,follow
259,26.000,follower_02,92.910,5.212,follower_01,12.624,13.230,brake (too close to follower_01)
259,26.000,follower_03,80.220,4.879,follower_02,12.690,12.525,follow
259,26.000,follower_04,67.640,5.083,follower_03,12.580,12.954,brake (too close to follower_03)
260,26.100,leader,118.672,5.000,,,12.777,leader_state:normal
260,26.100,follower_01,106.040,5.063,leader,12.633,12.911,brake (too close to leader)
260,26.100,follower_02,93.415,5.050,follower_01,12.625,12.884,brake (too close to follower_01)
260,26.100,follower_03,80.737,5.171,follower_02,12.678,13.142,brake (too close to follower_02)
260,26.100,follower_04,68.132,4.926,follower_03,12.605,12.622,brake (too close to follower_03)
261,26.200,leader,119.169,4.969,,,12.712,leader_state:normal
261,26.200,follower_01,106.530,4.906,leader,12.639,12.581,follow
261,26.200,follower_02,93.904,4.894,follower_01,12.626,12.555,follow
261,26.200,follower_03,81.238,5.011,follower_02,12.666,12.801,brake (too close to follower_02)
261,26.200,follower_04,68.610,4.773,follower_03,12.629,12.305,follow
262,26.300,leader,119.665,4.960,,,12.694,leader_state:normal
262,26.300,follower_01,107.041,5.109,leader,12.624,13.009,brake (too close to leader)
262,26.300,follower_02,94.418,5.143,follower_01,12.623,13.082,brake (too close to follower_01)
262,26.300,follower_03,81.724,4.856,follower_02,12.695,12.476,follow
262,26.300,follower_04,69.109,4.991,follower_03,12.615,12.758,brake (too close to follower_03)
263,26.400,leader,120.165,4.994,,,12.766,leader_state:normal
263,26.400,follower_01,107.536,4.951,leader,12.629,12.674,brake (too close to leader)
263,26.400,follower_02,94.917,4.984,follower_01,12.619,12.743,brake (too close to follower_01)
263,26.400,follower_03,82.237,5.130,follower_02,12.680,13.053,brake (too close to follower_02)
263,26.400,follower_04,69.592,4.836,follower_03,12.644,12.435,follow
264,26.500,leader,120.664,4.991,,,12.759,leader_state:normal
264,26.500,follower_01,108.016,4.797,leader,12.648,12.355,follow
264,26.500,follower_02,95.400,4.829,follower_01,12.616,12.421,follow
264,26.500,follower_03,82.734,4.971,follower_02,12.666,12.717,brake (too close to follower_02)
264,26.500,follower_04,70.095,5.025,follower_03,12.639,12.831,brake (too close to follower_03)
265,26.600,leader,121.163,4.986,,,12.749,leader_state:normal
265,26.600,follower_01,108.512,4.958,leader,12.651,12.690,brake (too close to leader)
265,26.600,follower_02,95.905,5.051,follower_01,12.607,12.885,brake (too close to follower_01)
265,26.600,follower_03,83.215,4.817,follower_02,12.689,12.395,follow
265,26.600,follower_04,70.582,4.870,follower_03,12.634,12.505,follow
266,26.700,leader,121.661,4.989,,,12.754,leader_state:normal
266,26.700,follower_01,108.992,4.805,leader,12.669,12.370,follow
266,26.700,follower_02,96.394,4.894,follower_01,12.598,12.556,follow
266,26.700,follower_03,83.720,5.045,follower_02,12.674,12.872,brake (too close to follower_02)
266,26.700,follower_04,71.096,5.140,follower_03,12.624,13.076,brake (too close to follower_03)
267,26.800,leader,122.161,4.992,,,12.761,leader_state:normal
267,26.800,follower_01,109.499,5.064,leader,12.662,12.913,brake (too close to leader)
267,26.800,follower_02,96.905,5.103,follower_01,12.594,12.997,brake (too close to follower_01)
267,26.800,follower_03,84.209,4.888,follower_02,12.696,12.544,follow
267,26.800,follower_04,71.594,4.981,follower_03,12.615,12.738,brake (too close to follower_03)
268,26.900,leader,122.656,4.953,,,12.679,leader_state:normal
268,26.900,follower_01,109.989,4.907,leader,12.667,12.582,follow
268,26.900,follower_02,97.399,4.945,follower_01,12.590,12.662,brake (too close to follower_01)
268,26.900,follower_03,84.726,5.173,follower_02,12.673,13.146,brake (too close to follower_02)
268,26.900,follower_04,72.077,4.827,follower_03,12.649,12.416,follow
269,27.000,leader,123.154,4.981,,,12.738,leader_state:normal
269,27.000,follower_01,110.501,5.117,leader,12.653,13.027,brake (too close to leader)
269,27.000,follower_02,97.878,4.792,follower_01,12.623,12.344,follow
269,27.000,follower_03,85.227,5.013,follower_02,12.651,12.805,brake (too close to follower_02)
269,27.000,follower_04,72.588,5.109,follower_03,12.640,13.010,brake (too close to follower_03)
270,27.100,leader,123.652,4.984,,,12.743,leader_state:normal
270,27.100,follower_01,110.997,4.959,leader,12.655,12.691,brake (too close to leader)
270,27.100,follower_02,98.377,4.988,follower_01,12.620,12.752,brake (too close to follower_01)
270,27.100,follower_03,85.713,4.858,follower_02,12.664,12.479,follow
270,27.100,follower_04,73.083,4.951,follower_03,12.630,12.675,brake (too close to follower_03)
271,27.200,leader,124.152,4.997,,,12.771,leader_state:normal
271,27.200,follower_01,111.478,4.805,leader,12.675,12.371,follow
271,27.200,follower_02,98.860,4.834,follower_01,12.617,12.429,follow
271,27.200,follower_03,86.216,5.025,follower_02,12.645,12.830,brake (too close to follower_02)
271,27.200,follower_04,73.562,4.798,follower_03,12.653,12.355,follow
272,27.300,leader,124.649,4.966,,,12.706,leader_state:normal
272,27.300,follower_01,111.983,5.059,leader,12.665,12.903,brake (too close to leader)
272,27.300,follower_02,99.374,5.133,follower_01,12.610,13.061,brake (too close to follower_01)
272,27.300,follower_03,86.703,4.869,follower_02,12.671,12.504,follow
272,27.300,follower_04,74.060,4.978,follower_03,12.642,12.732,brake (too close to follower_03)
273,27.400,leader,125.146,4.968,,,12.711,leader_state:normal
273,27.400,follower_01,112.474,4.903,leader,12.672,12.573,follow
273,27.400,follower_02,99.871,4.974,follower_01,12.603,12.723,brake (too close to follower_01)
273,27.400,follower_03,87.209,5.069,follower_02,12.662,12.924,brake (too close to follower_02)
273,27.400,follower_04,74.543,4.824,follower_03,12.667,12.410,follow
274,27.500,leader,125.643,4.975,,,12.726,leader_state:normal
274,27.500,follower_01,112.988,5.143,leader,12.655,13.082,brake (too close to leader)
274,27.500,follower_02,100.353,4.820,follower_01,12.635,12.402,follow
274,27.500,follower_03,87.701,4.912,follower_02,12.653,12.593,follow
274,27.500,follower_04,75.042,4.995,follower_03,12.659,12.768,brake (too close to follower_03)
275,27.600,leader,126.138,4.954,,,12.682,leader_state:normal
275,27.600,follower_01,113.486,4.984,leader,12.652,12.744,brake (too close to leader)
275,27.600,follower_02,100.853,4.993,follower_01,12.634,12.762,brake (too close to follower_01)
275,27.600,follower_03,88.213,5.124,follower_02,12.639,13.041,brake (too close to follower_02)
275,27.600,follower_04,75.526,4.841,follower_03,12.687,12.444,follow
276,27.700,leader,126.635,4.965,,,12.704,leader_state:normal
276,27.700,follower_01,113.969,4.830,leader,12.666,12.421,follow
276,27.700,follower_02,101.336,4.838,follower_01,12.633,12.439,follow
276,27.700,follower_03,88.710,4.965,follower_02,12.627,12.704,brake (too close to follower_02)
276,27.700,follower_04,76.032,5.058,follower_03,12.678,12.901,brake (too close to follower_03)
277,27.800,leader,127.131,4.963,,,12.699,leader_state:normal
277,27.800,follower_01,114.474,5.043,leader,12.658,12.868,brake (too close to leader)
277,27.800,follower_02,101.849,5.123,follower_01,12.625,13.038,brake (too close to follower_01)
277,27.800,follower_03,89.191,4.811,follower_02,12.658,12.384,follow
277,27.800,follower_04,76.522,4.902,follower_03,12.668,12.571,follow
278,27.900,leader,127.626,4.952,,,12.678,leader_state:normal
278,27.900,follower_01,114.962,4.886,leader,12.664,12.540,follow
278,27.900,follower_02,102.345,4.964,follower_01,12.617,12.702,brake (too close to follower_01)
278,27.900,follower_03,89.693,5.026,follower_02,12.652,12.833,brake (too close to follower_02)
278,27.900,follower_04,77.042,5.198,follower_03,12.651,13.199,brake (too close to follower_03)
279,28.000,leader,128.124,4.976,,,12.727,leader_state:normal
279,28.000,follower_01,115.480,5.181,leader,12.644,13.163,brake (too close to leader)
279,28.000,follower_02,102.826,4.810,follower_01,12.654,12.381,follow
279,28.000,follower_03,90.180,4.871,follower_02,12.646,12.506,follow
279,28.000,follower_04,77.546,5.037,follower_03,12.635,12.855,brake (too close to follower_03)
280,28.100,leader,128.621,4.969,,,12.713,leader_state:normal
280,28.100,follower_01,115.982,5.021,leader,12.639,12.821,brake (too close to leader)
280,28.100,follower_02,103.323,4.970,follower_01,12.659,12.714,brake (too close to follower_01)
280,28.100,follower_03,90.683,5.027,follower_02,12.640,12.835,brake (too close to follower_02)
280,28.100,follower_04,78.034,4.881,follower_03,12.649,12.528,follow
281,28.200,leader,129.118,4.970,,,12.715,leader_state:normal
281,28.200,follower_01,116.469,4.865,leader,12.649,12.495,follow
281,28.200,follower_02,103.805,4.816,follower_01,12.664,12.393,follow
281,28.200,follower_03,91.170,4.872,follower_02,12.634,12.509,follow
281,28.200,follower_04,78.551,5.169,follower_03,12.620,13.138,brake (too close to follower_03)
282,28.300,leader,129.616,4.981,,,12.737,leader_state:normal
282,28.300,follower_01,116.973,5.036,leader,12.644,12.854,brake (too close to leader)
282,28.300,follower_02,104.312,5.069,follower_01,12.661,12.925,brake (too close to follower_01)
282,28.300,follower_03,91.680,5.094,follower_02,12.632,12.978,brake (too close to follower_02)
282,28.300,follower_04,79.052,5.009,follower_03,12.628,12.798,brake (too close to follower_03)
283,28.400,leader,130.112,4.962,,,12.697,leader_state:normal
283,28.400,follower_01,117.461,4.880,leader,12.652,12.527,follow
283,28.400,follower_02,104.803,4.912,follower_01,12.658,12.594,follow
283,28.400,follower_03,92.173,4.937,follower_02,12.629,12.644,brake (too close to follower_02)
283,28.400,follower_04,79.537,4.854,follower_03,12.636,12.473,follow
284,28.500,leader,130.608,4.954,,,12.681,leader_state:normal
284,28.500,follower_01,117.973,5.123,leader,12.635,13.038,brake (too close to leader)
284,28.500,follower_02,105.324,5.208,follower_01,12.649,13.221,brake (too close to follower_01)
284,28.500,follower_03,92.652,4.784,follower_02,12.672,12.326,follow
284,28.500,follower_04,80.040,5.025,follower_03,12.612,12.831,brake (too close to follower_03)
285,28.600,leader,131.103,4.958,,,12.688,leader_state:normal
285,28.600,follower_01,118.469,4.964,leader,12.634,12.702,brake (too close to leader)
285,28.600,follower_02,105.828,5.046,follower_01,12.641,12.876,brake (too close to follower_01)
285,28.600,follower_03,93.148,4.962,follower_02,12.680,12.698,brake (too close to follower_02)
285,28.600,follower_04,80.527,4.870,follower_03,12.621,12.505,follow
286,28.700,leader,131.603,4.993,,,12.764,leader_state:normal
286,28.700,follower_01,118.950,4.810,leader,12.652,12.382,follow
286,28.700,follower_02,106.317,4.890,follower_01,12.633,12.547,follow
286,28.700,follower_03,93.629,4.808,follower_02,12.688,12.378,follow
286,28.700,follower_04,81.033,5.067,follower_03,12.596,12.919,brake (too close to follower_03)
287,28.800,leader,132.102,4.994,,,12.766,leader_state:normal
287,28.800,follower_01,119.459,5.083,leader,12.644,12.954,brake (too close to leader)
287,28.800,follower_02,106.833,5.159,follower_01,12.625,13.115,brake (too close to follower_01)
287,28.800,follower_03,94.131,5.019,follower_02,12.702,12.819,brake (too close to follower_02)
287,28.800,follower_04,81.524,4.910,follower_03,12.607,12.588,follow
288,28.900,leader,132.602,4.996,,,12.769,leader_state:normal
288,28.900,follower_01,119.951,4.926,leader,12.651,12.621,follow
