step,time_s,vehicle_id,lane_pos_m,speed_mps,leader_of_this_vehicle,gap_to_leader_m,safe_dist_m,action
66,6.700,leader,22.181,4.979,,,12.734,leader_state:normal
66,6.700,follower_01,11.343,4.175,leader,10.837,11.113,brake (too close to leader)
67,6.800,leader,22.676,4.951,,,12.675,leader_state:normal
67,6.800,follower_01,11.748,4.046,leader,10.928,10.865,follow
67,6.800,follower_02,4.600,0.000,follower_01,7.148,5.000,follow
68,6.900,leader,23.174,4.985,,,12.746,leader_state:normal
68,6.900,follower_01,12.181,4.331,leader,10.993,11.414,brake (too close to leader)
68,6.900,follower_02,4.629,0.287,follower_01,7.552,5.296,follow
69,7.000,leader,23.671,4.969,,,12.712,leader_state:normal
69,7.000,follower_01,12.601,4.196,leader,11.071,11.153,brake (too close to leader)
69,7.000,follower_02,4.686,0.572,follower_01,7.915,5.609,follow
70,7.100,leader,24.169,4.979,,,12.733,leader_state:normal
70,7.100,follower_01,13.007,4.067,leader,11.162,10.904,follow
70,7.100,follower_02,4.771,0.853,follower_01,8.236,5.933,follow
71,7.200,leader,24.665,4.956,,,12.686,leader_state:normal
71,7.200,follower_01,13.435,4.281,leader,11.229,11.316,brake (too close to leader)
71,7.200,follower_02,4.881,1.097,follower_01,8.555,6.230,follow
72,7.300,leader,25.163,4.985,,,12.747,leader_state:normal
72,7.300,follower_01,13.850,4.148,leader,11.313,11.060,follow
72,7.300,follower_02,5.018,1.373,follower_01,8.832,6.582,follow
73,7.400,leader,25.660,4.965,,,12.704,leader_state:normal
73,7.400,follower_01,14.293,4.433,leader,11.366,11.616,brake (too close to leader)
73,7.400,follower_02,5.181,1.634,follower_01,9.112,6.930,follow
74,7.500,leader,26.156,4.967,,,12.708,leader_state:normal
74,7.500,follower_01,14.723,4.296,leader,11.433,11.346,follow
74,7.500,follower_02,5.372,1.906,follower_01,9.351,7.310,follow
75,7.600,leader,26.653,4.964,,,12.703,leader_state:normal
75,7.600,follower_01,15.181,4.577,leader,11.472,11.905,brake (too close to leader)
75,7.600,follower_02,5.585,2.128,follower_01,9.596,7.631,follow
76,7.700,leader,27.152,4.993,,,12.763,leader_state:normal
76,7.700,follower_01,15.624,4.435,leader,11.528,11.621,brake (too close to leader)
76,7.700,follower_02,5.823,2.383,follower_01,9.801,8.013,follow
77,7.800,leader,27.650,4.976,,,12.727,leader_state:normal
77,7.800,follower_01,16.054,4.298,leader,11.596,11.351,follow
