step,time_s,veh,lane_pos_m,speed_mps,lead_of_this,gap_m,safe_m,action
2,3.000,leader,4.600,0.000,,,4.000,leader_state:normal
3,4.000,leader,5.338,0.738,,,4.799,leader_state:normal
4,5.000,leader,6.738,1.400,,,5.618,leader_state:normal
5,6.000,main_flow_e_w.0,216.337,13.890,,,39.327,free
5,6.000,leader,8.909,2.171,,,6.694,leader_state:normal
6,7.000,main_flow_e_w.0,229.050,12.713,,,34.670,free
6,7.000,leader,12.019,3.110,,,8.184,leader_state:normal
7,8.000,main_flow_e_w.0,238.166,9.117,,,22.352,free
7,8.000,leader,15.974,3.956,,,9.694,leader_state:normal
8,9.000,main_flow_e_w.0,241.283,3.117,,,8.196,free
8,9.000,main_flow_e_w.1,172.993,13.890,main_flow_e_w.0,68.290,39.327,brake_to_lead:main_flow_e_w.0
8,9.000,leader,20.654,4.680,,,11.113,leader_state:normal
9,10.000,main_flow_e_w.0,241.729,0.446,,,4.468,free
9,10.000,main_flow_e_w.1,183.292,10.299,main_flow_e_w.0,58.437,26.084,brake_to_lead:main_flow_e_w.0
9,10.000,leader,26.205,5.551,,,12.976,leader_state:normal
10,11.000,main_flow_e_w.0,241.787,0.057,,,4.058,free
10,11.000,main_flow_e_w.1,190.307,7.015,main_flow_e_w.0,51.480,16.482,brake_to_lead:main_flow_e_w.0
10,11.000,leader,32.482,6.277,,,14.655,leader_state:normal
10,11.000,side_flow_s_n.0,1.801,9.273,leader,223.374,22.826,follow_free
11,12.000,main_flow_e_w.0,241.795,0.008,,,4.008,free
11,12.000,main_flow_e_w.1,195.003,4.696,main_flow_e_w.0,46.792,11.145,brake_to_lead:main_flow_e_w.0
11,12.000,main_flow_e_w.2,119.323,11.543,main_flow_e_w.1,75.680,30.346,brake_to_lead:main_flow_e_w.1
11,12.000,leader,39.731,7.248,,,17.086,leader_state:normal
11,12.000,side_flow_s_n.0,10.919,9.118,leader,214.625,22.355,follow_free
12,13.000,main_flow_e_w.0,241.798,0.004,,,4.004,free
12,13.000,main_flow_e_w.1,198.136,3.133,main_flow_e_w.0,43.663,8.224,brake_to_lead:main_flow_e_w.0
12,13.000,main_flow_e_w.2,128.583,9.260,main_flow_e_w.1,69.553,22.788,brake_to_lead:main_flow_e_w.1
12,13.000,leader,47.398,7.668,,,18.200,leader_state:normal
12,13.000,side_flow_s_n.0,18.949,8.030,leader,205.882,19.195,follow_free
13,14.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
13,14.000,main_flow_e_w.1,200.226,2.090,main_flow_e_w.0,41.573,6.575,brake_to_lead:main_flow_e_w.0
13,14.000,main_flow_e_w.2,135.801,7.218,main_flow_e_w.1,64.425,17.006,brake_to_lead:main_flow_e_w.1
13,14.000,leader,55.075,7.677,,,18.225,leader_state:normal
13,14.000,side_flow_s_n.0,27.590,8.641,leader,197.312,20.938,follow_free
14,15.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
14,15.000,main_flow_e_w.1,201.619,1.393,main_flow_e_w.0,40.180,5.609,follow_free
14,15.000,main_flow_e_w.2,141.310,5.509,main_flow_e_w.1,60.309,12.880,brake_to_lead:main_flow_e_w.1
14,15.000,leader,62.880,7.805,,,18.573,leader_state:normal
14,15.000,side_flow_s_n.0,35.354,7.764,leader,188.977,18.461,follow_free
14,15.000,side_flow_s_n.1,1.727,7.974,side_flow_s_n.0,33.627,19.039,follow_free
15,16.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
15,16.000,main_flow_e_w.1,205.737,4.118,main_flow_e_w.0,36.062,10.002,brake_to_lead:main_flow_e_w.0
15,16.000,main_flow_e_w.3,180.463,12.091,main_flow_e_w.1,25.274,32.335,brake_to_lead:main_flow_e_w.1
15,16.000,main_flow_e_w.2,145.446,4.137,main_flow_e_w.3,35.016,10.038,follow_free
15,16.000,leader,70.527,7.647,,,18.145,leader_state:normal
15,16.000,side_flow_s_n.0,37.954,2.600,leader,181.218,7.351,follow_free
15,16.000,side_flow_n_s.0,9.801,8.441,side_flow_s_n.0,52.343,20.358,brake_to_lead:side_flow_s_n.0
15,16.000,side_flow_s_n.1,8.660,6.933,side_flow_n_s.0,81.601,16.275,follow_free
16,17.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
16,17.000,main_flow_e_w.1,208.482,2.745,main_flow_e_w.0,33.317,7.583,brake_to_lead:main_flow_e_w.0
16,17.000,main_flow_e_w.3,189.896,9.433,main_flow_e_w.1,18.859,23.321,brake_to_lead:main_flow_e_w.1
16,17.000,main_flow_e_w.2,152.187,6.740,main_flow_e_w.3,37.845,15.788,follow_free
16,17.000,leader,78.185,7.658,,,18.174,leader_state:normal
16,17.000,side_flow_s_n.0,38.514,0.560,leader,173.543,4.595,follow_free
16,17.000,side_flow_n_s.0,16.295,6.494,side_flow_s_n.0,45.304,15.180,brake_to_lead:side_flow_s_n.0
16,17.000,side_flow_s_n.1,15.261,6.600,side_flow_n_s.0,68.519,15.441,follow_free
17,18.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
17,18.000,main_flow_e_w.1,210.312,1.830,main_flow_e_w.0,31.486,6.202,follow_free
17,18.000,main_flow_e_w.3,197.100,7.204,main_flow_e_w.1,13.594,16.970,brake_to_lead:main_flow_e_w.1
17,18.000,main_flow_e_w.2,161.653,9.466,main_flow_e_w.3,35.592,23.423,follow_free
17,18.000,main_flow_e_w.4,132.393,11.902,main_flow_e_w.2,29.260,31.643,brake_close_to:main_flow_e_w.2
17,18.000,leader,86.009,7.823,,,18.623,leader_state:normal
17,18.000,side_flow_s_n.0,38.588,0.074,leader,165.723,4.075,follow_free
17,18.000,side_flow_s_n.1,22.074,6.813,side_flow_s_n.0,16.514,15.971,brake_to_lead:side_flow_s_n.0
17,18.000,side_flow_n_s.0,20.811,4.516,side_flow_s_n.1,57.204,10.782,follow_free
18,19.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
18,19.000,main_flow_e_w.1,213.819,3.506,main_flow_e_w.0,27.980,8.872,brake_to_lead:main_flow_e_w.0
18,19.000,main_flow_e_w.3,202.513,5.413,main_flow_e_w.1,11.750,12.668,brake_close_to:main_flow_e_w.1
18,19.000,main_flow_e_w.2,172.743,11.091,main_flow_e_w.3,29.941,28.758,brake_to_lead:main_flow_e_w.3
18,19.000,main_flow_e_w.4,141.915,9.522,main_flow_e_w.2,30.829,23.596,follow_free
18,19.000,leader,93.543,7.535,,,17.843,leader_state:normal
18,19.000,side_flow_s_n.0,38.599,0.011,leader,158.194,4.011,follow_free
18,19.000,side_flow_n_s.0,28.128,7.317,side_flow_s_n.0,33.427,17.265,brake_to_lead:side_flow_s_n.0
18,19.000,side_flow_s_n.1,26.641,4.567,side_flow_n_s.0,45.344,10.884,follow_free
19,20.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
19,20.000,main_flow_e_w.1,216.156,2.337,main_flow_e_w.0,25.643,6.944,brake_to_lead:main_flow_e_w.0
19,20.000,main_flow_e_w.3,206.843,4.330,main_flow_e_w.1,9.847,10.414,brake_close_to:main_flow_e_w.1
19,20.000,main_flow_e_w.2,181.941,9.198,main_flow_e_w.3,25.106,22.598,brake_to_lead:main_flow_e_w.3
19,20.000,main_flow_e_w.4,153.481,11.566,main_flow_e_w.2,28.460,30.431,brake_close_to:main_flow_e_w.2
19,20.000,leader,101.054,7.510,,,17.777,leader_state:normal
19,20.000,side_flow_s_n.0,38.599,0.000,leader,150.691,4.000,follow_free
19,20.000,side_flow_n_s.0,33.009,4.881,side_flow_s_n.0,28.572,11.529,brake_to_lead:side_flow_s_n.0
19,20.000,side_flow_s_n.1,30.478,3.837,side_flow_n_s.0,36.653,9.473,follow_free
19,20.000,side_flow_s_n.2,0.239,9.816,side_flow_s_n.1,30.239,24.523,brake_to_lead:side_flow_s_n.1
20,21.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
20,21.000,main_flow_e_w.1,217.714,1.558,main_flow_e_w.0,24.085,5.828,follow_free
20,21.000,main_flow_e_w.3,210.307,3.464,main_flow_e_w.1,8.069,8.798,brake_close_to:main_flow_e_w.1
20,21.000,main_flow_e_w.2,189.517,7.575,main_flow_e_w.3,21.035,17.952,brake_to_lead:main_flow_e_w.3
20,21.000,main_flow_e_w.4,162.734,9.253,main_flow_e_w.2,26.783,22.767,follow_free
20,21.000,leader,108.594,7.541,,,17.858,leader_state:normal
20,21.000,side_flow_s_n.0,38.599,0.000,leader,143.158,4.000,follow_free
20,21.000,side_flow_n_s.0,36.264,3.254,side_flow_s_n.0,25.340,8.431,brake_to_lead:side_flow_s_n.0
20,21.000,side_flow_s_n.1,31.292,0.814,side_flow_n_s.0,32.602,4.887,follow_free
20,21.000,side_flow_s_n.2,8.062,7.823,side_flow_s_n.1,23.229,18.623,brake_to_lead:side_flow_s_n.1
20,21.000,turn01,4.600,0.000,side_flow_s_n.2,248.240,4.000,follow_free
21,22.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
21,22.000,main_flow_e_w.1,220.952,3.238,main_flow_e_w.0,20.847,8.403,brake_to_lead:main_flow_e_w.0
21,22.000,main_flow_e_w.3,213.079,2.771,main_flow_e_w.1,8.499,7.625,follow_free
21,22.000,main_flow_e_w.2,195.722,6.205,main_flow_e_w.3,17.649,14.483,brake_to_lead:main_flow_e_w.3
21,22.000,main_flow_e_w.4,173.666,10.932,main_flow_e_w.2,22.056,28.209,brake_close_to:main_flow_e_w.2
21,22.000,leader,116.117,7.523,,,17.810,leader_state:normal
21,22.000,main_flow_e_w.5,113.185,13.890,leader,270.869,39.327,follow_free
21,22.000,side_flow_s_n.0,38.599,0.000,main_flow_e_w.5,136.182,4.000,follow_free
21,22.000,side_flow_n_s.0,38.433,2.170,side_flow_s_n.0,23.190,6.693,brake_to_lead:side_flow_s_n.0
21,22.000,side_flow_s_n.1,31.495,0.204,side_flow_n_s.0,30.241,4.208,follow_free
21,22.000,side_flow_n_s.1,17.904,9.424,side_flow_s_n.1,50.702,23.292,brake_to_lead:side_flow_s_n.1
21,22.000,side_flow_s_n.2,13.549,5.487,side_flow_n_s.1,68.622,12.832,follow_free
21,22.000,turn01,6.439,1.839,side_flow_s_n.2,245.452,6.214,follow_free
22,23.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
22,23.000,main_flow_e_w.1,223.110,2.158,main_flow_e_w.0,18.689,6.676,brake_to_lead:main_flow_e_w.0
22,23.000,main_flow_e_w.3,218.640,5.562,main_flow_e_w.1,5.498,12.999,brake_to_lead:main_flow_e_w.1
22,23.000,main_flow_e_w.2,200.782,5.060,main_flow_e_w.3,18.143,11.906,follow_free
22,23.000,main_flow_e_w.4,182.411,8.745,main_flow_e_w.2,18.648,21.243,brake_to_lead:main_flow_e_w.2
22,23.000,main_flow_e_w.5,126.200,13.015,main_flow_e_w.4,56.302,35.836,follow_free
22,23.000,leader,123.763,7.646,,,18.142,leader_state:slowing
22,23.000,side_flow_s_n.0,38.599,0.000,leader,128.007,4.000,follow_free
22,23.000,side_flow_s_n.1,31.582,0.086,side_flow_s_n.0,7.017,4.087,follow_free
22,23.000,side_flow_n_s.1,24.254,6.350,side_flow_s_n.1,44.280,14.831,brake_to_lead:side_flow_s_n.1
22,23.000,side_flow_s_n.2,21.694,8.145,side_flow_n_s.1,54.147,19.516,follow_free
22,23.000,turn01,9.903,3.464,side_flow_s_n.2,240.784,8.798,follow_free
22,23.000,side_flow_n_s.0,0.280,1.446,turn01,241.755,5.679,follow_free
23,24.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
23,24.000,main_flow_e_w.1,224.549,1.439,main_flow_e_w.0,17.250,5.669,follow_free
23,24.000,main_flow_e_w.3,223.068,4.427,main_flow_e_w.1,3.526,10.605,brake_to_lead:main_flow_e_w.1
23,24.000,main_flow_e_w.2,208.060,7.278,main_flow_e_w.3,15.345,17.163,brake_to_lead:main_flow_e_w.3
23,24.000,main_flow_e_w.4,189.928,7.517,main_flow_e_w.2,18.412,17.795,follow_free
23,24.000,main_flow_e_w.5,138.780,12.580,main_flow_e_w.4,51.248,34.166,follow_free
23,24.000,leader,129.527,5.764,,,13.456,leader_state:slowing
23,24.000,side_flow_s_n.0,38.599,0.000,leader,122.251,4.000,follow_free
23,24.000,side_flow_s_n.1,31.594,0.013,side_flow_s_n.0,7.005,4.013,follow_free
23,24.000,side_flow_n_s.1,28.517,4.262,side_flow_s_n.1,40.017,10.281,brake_to_lead:side_flow_s_n.1
23,24.000,side_flow_s_n.2,24.258,2.564,side_flow_n_s.1,47.334,7.294,follow_free
23,24.000,turn01,15.981,6.078,side_flow_s_n.2,234.417,14.183,brake_to_lead:side_flow_s_n.2
23,24.000,side_flow_s_n.3,10.475,6.391,turn01,236.608,14.929,follow_free
23,24.000,side_flow_n_s.0,4.722,4.442,side_flow_s_n.3,45.317,10.635,follow_free
24,25.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
24,25.000,main_flow_e_w.1,228.209,3.659,main_flow_e_w.0,13.590,9.147,brake_to_lead:main_flow_e_w.0
24,25.000,main_flow_e_w.3,226.499,3.431,main_flow_e_w.1,3.628,8.739,brake_close_to:main_flow_e_w.1
24,25.000,main_flow_e_w.2,214.388,6.328,main_flow_e_w.3,12.527,14.776,brake_to_lead:main_flow_e_w.3
24,25.000,main_flow_e_w.4,199.584,9.656,main_flow_e_w.2,15.146,24.016,brake_close_to:main_flow_e_w.2
24,25.000,main_flow_e_w.5,151.397,12.617,main_flow_e_w.4,48.293,34.303,follow_free
24,25.000,leader,133.409,3.882,,,9.557,leader_state:slowing
24,25.000,side_flow_s_n.0,38.599,0.000,leader,118.375,4.000,follow_free
24,25.000,side_flow_s_n.1,31.598,0.003,side_flow_s_n.0,7.001,4.003,follow_free
24,25.000,side_flow_n_s.1,31.362,2.846,side_flow_s_n.1,37.178,7.746,brake_to_lead:side_flow_s_n.1
24,25.000,side_flow_s_n.2,24.593,0.336,side_flow_n_s.1,44.160,4.348,follow_free
24,25.000,turn01,20.888,4.907,side_flow_s_n.2,229.509,11.582,brake_to_lead:side_flow_s_n.2
24,25.000,side_flow_s_n.3,16.717,6.243,turn01,230.678,14.573,follow_free
24,25.000,side_flow_n_s.0,11.697,6.975,side_flow_s_n.3,32.145,16.381,follow_free
25,26.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
25,26.000,main_flow_e_w.1,230.648,2.439,main_flow_e_w.0,11.151,7.101,brake_to_lead:main_flow_e_w.0
25,26.000,main_flow_e_w.3,229.244,2.745,main_flow_e_w.1,3.495,7.582,brake_close_to:main_flow_e_w.1
25,26.000,main_flow_e_w.2,219.750,5.362,main_flow_e_w.3,10.019,12.557,brake_to_lead:main_flow_e_w.3
25,26.000,main_flow_e_w.4,207.309,7.725,main_flow_e_w.2,12.846,18.355,brake_to_lead:main_flow_e_w.2
25,26.000,main_flow_e_w.5,164.987,13.590,main_flow_e_w.4,42.443,38.109,follow_free
25,26.000,leader,135.409,2.000,,,6.444,leader_state:slowing
25,26.000,main_flow_e_w.6,78.173,13.768,leader,286.579,38.829,brake_to_lead:leader
25,26.000,side_flow_s_n.0,38.599,0.000,main_flow_e_w.6,170.996,4.000,follow_free
25,26.000,side_flow_n_s.1,33.261,1.898,side_flow_s_n.0,28.322,6.299,follow_free
25,26.000,side_flow_s_n.1,31.598,0.000,side_flow_n_s.1,35.287,4.000,follow_free
25,26.000,side_flow_s_n.2,24.597,0.003,side_flow_s_n.1,7.001,4.003,follow_free
25,26.000,turn01,24.271,3.383,side_flow_s_n.2,226.155,8.655,brake_to_lead:side_flow_s_n.2
25,26.000,side_flow_n_s.0,19.079,7.383,turn01,227.729,17.438,brake_to_lead:turn01
25,26.000,side_flow_s_n.3,17.241,0.524,side_flow_n_s.0,24.291,4.554,follow_free
26,27.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
26,27.000,main_flow_e_w.1,232.274,1.626,main_flow_e_w.0,9.525,5.920,follow_free
26,27.000,main_flow_e_w.3,231.440,2.196,main_flow_e_w.1,3.307,6.732,brake_close_to:main_flow_e_w.1
26,27.000,main_flow_e_w.2,223.647,3.897,main_flow_e_w.3,8.424,9.585,brake_close_to:main_flow_e_w.3
26,27.000,main_flow_e_w.4,214.246,6.937,main_flow_e_w.2,9.931,16.285,brake_to_lead:main_flow_e_w.2
26,27.000,main_flow_e_w.5,177.423,12.436,main_flow_e_w.4,36.962,33.621,follow_free
26,27.000,main_flow_e_w.7,165.980,8.657,main_flow_e_w.5,11.443,20.985,brake_close_to:main_flow_e_w.5
26,27.000,leader,138.230,2.821,,,7.706,leader_state:slowing
26,27.000,main_flow_e_w.6,88.018,9.845,leader,273.920,24.615,brake_to_lead:leader
26,27.000,side_flow_s_n.0,38.599,0.000,main_flow_e_w.6,161.198,4.000,follow_free
26,27.000,side_flow_n_s.1,37.660,4.399,side_flow_s_n.0,23.956,10.549,brake_to_lead:side_flow_s_n.0
26,27.000,side_flow_s_n.1,31.598,0.000,side_flow_n_s.1,30.908,4.000,follow_free
26,27.000,turn01,26.527,2.256,side_flow_s_n.1,223.083,6.822,brake_to_lead:side_flow_s_n.1
26,27.000,side_flow_s_n.2,24.597,0.000,turn01,223.919,4.000,follow_free
26,27.000,side_flow_s_n.3,17.550,0.308,side_flow_s_n.2,7.047,4.319,follow_free
26,27.000,side_flow_n_s.0,4.329,6.049,side_flow_s_n.3,18.008,14.115,brake_to_lead:side_flow_s_n.3
26,27.000,side_flow_s_n.4,1.829,7.360,side_flow_n_s.0,33.595,17.378,follow_free
27,28.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
27,28.000,main_flow_e_w.1,234.547,2.273,main_flow_e_w.0,7.252,6.847,brake_to_lead:main_flow_e_w.0
27,28.000,main_flow_e_w.3,233.196,1.757,main_flow_e_w.1,3.473,6.100,brake_close_to:main_flow_e_w.1
27,28.000,main_flow_e_w.2,225.273,1.626,main_flow_e_w.3,8.545,5.920,follow_free
27,28.000,main_flow_e_w.4,220.170,5.924,main_flow_e_w.2,6.024,13.823,brake_to_lead:main_flow_e_w.2
27,28.000,main_flow_e_w.5,191.126,13.703,main_flow_e_w.4,29.220,38.567,brake_to_lead:main_flow_e_w.4
27,28.000,main_flow_e_w.7,172.906,6.926,main_flow_e_w.5,18.220,16.255,follow_free
27,28.000,leader,141.643,3.413,,,8.707,leader_state:stopped
27,28.000,main_flow_e_w.6,95.522,7.504,leader,263.010,17.760,brake_to_lead:leader
27,28.000,side_flow_n_s.1,38.599,0.939,main_flow_e_w.6,156.218,5.037,follow_free
27,28.000,side_flow_s_n.0,38.599,0.000,side_flow_n_s.1,23.025,4.000,follow_free
27,28.000,side_flow_s_n.1,31.598,0.000,side_flow_s_n.0,7.001,4.000,follow_free
27,28.000,turn01,28.031,1.504,side_flow_s_n.1,221.587,5.756,follow_free
27,28.000,side_flow_s_n.2,24.597,0.000,turn01,222.429,4.000,follow_free
27,28.000,side_flow_n_s.2,20.314,8.473,side_flow_s_n.2,55.182,20.449,brake_to_lead:side_flow_s_n.2
27,28.000,side_flow_s_n.3,17.592,0.043,side_flow_n_s.2,62.177,4.043,follow_free
27,28.000,side_flow_n_s.0,8.464,4.136,side_flow_s_n.3,13.916,10.036,brake_to_lead:side_flow_s_n.3
27,28.000,side_flow_s_n.4,8.207,6.377,side_flow_n_s.0,23.151,14.896,brake_to_lead:side_flow_n_s.0
28,29.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
28,29.000,main_flow_e_w.1,234.798,0.251,main_flow_e_w.0,7.001,4.258,follow_free
28,29.000,main_flow_e_w.3,234.602,1.405,main_flow_e_w.1,3.206,5.625,brake_close_to:main_flow_e_w.1
28,29.000,main_flow_e_w.2,227.115,1.842,main_flow_e_w.3,8.142,6.218,follow_free
28,29.000,main_flow_e_w.4,224.661,4.491,main_flow_e_w.2,4.032,10.733,brake_to_lead:main_flow_e_w.2
28,29.000,main_flow_e_w.5,202.236,11.110,main_flow_e_w.4,22.653,28.825,brake_to_lead:main_flow_e_w.4
28,29.000,main_flow_e_w.7,182.660,9.755,main_flow_e_w.5,19.576,24.327,brake_close_to:main_flow_e_w.5
28,29.000,leader,143.919,2.275,,,6.850,leader_state:stopped
28,29.000,main_flow_e_w.6,101.662,6.140,leader,254.600,14.329,brake_to_lead:leader
28,29.000,side_flow_n_s.1,38.599,0.000,main_flow_e_w.6,150.083,4.000,follow_free
28,29.000,side_flow_s_n.0,38.599,0.000,side_flow_n_s.1,23.025,4.000,follow_free
28,29.000,side_flow_s_n.1,31.598,0.000,side_flow_s_n.0,7.001,4.000,follow_free
28,29.000,turn01,31.247,3.215,side_flow_s_n.1,218.389,8.364,brake_to_lead:side_flow_s_n.1
28,29.000,side_flow_n_s.2,25.962,5.648,turn01,221.191,13.193,brake_to_lead:turn01
28,29.000,side_flow_s_n.2,24.597,0.000,side_flow_n_s.2,49.545,4.000,follow_free
28,29.000,side_flow_s_n.3,17.596,0.003,side_flow_s_n.2,7.001,4.003,follow_free
28,29.000,side_flow_n_s.0,11.236,2.771,side_flow_s_n.3,11.234,7.625,brake_to_lead:side_flow_s_n.3
28,29.000,side_flow_s_n.4,10.591,2.385,side_flow_n_s.0,18.059,7.017,follow_free
29,30.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
29,30.000,main_flow_e_w.3,235.726,1.124,main_flow_e_w.0,6.864,5.265,follow_free
29,30.000,main_flow_e_w.1,234.798,0.000,main_flow_e_w.3,3.332,4.000,brake_close_to:main_flow_e_w.3
29,30.000,main_flow_e_w.4,227.601,2.939,main_flow_e_w.1,7.876,7.899,brake_to_lead:main_flow_e_w.1
29,30.000,main_flow_e_w.2,227.597,0.482,main_flow_e_w.4,3.200,4.508,brake_close_to:main_flow_e_w.4
29,30.000,main_flow_e_w.5,211.140,8.904,main_flow_e_w.2,16.457,21.712,brake_to_lead:main_flow_e_w.2
29,30.000,main_flow_e_w.7,190.464,7.804,main_flow_e_w.5,20.922,18.570,follow_free
29,30.000,leader,143.919,0.000,,,4.000,leader_state:stopped
29,30.000,main_flow_e_w.6,106.514,4.852,leader,249.752,11.468,brake_to_lead:leader
29,30.000,main_flow_e_w.8,74.555,13.004,main_flow_e_w.6,31.959,35.793,brake_to_lead:main_flow_e_w.6
29,30.000,side_flow_n_s.1,38.599,0.000,main_flow_e_w.8,177.168,4.000,follow_free
29,30.000,side_flow_s_n.0,38.599,0.000,side_flow_n_s.1,23.025,4.000,follow_free
29,30.000,turn01,33.390,2.144,side_flow_s_n.0,215.619,6.654,brake_to_lead:side_flow_s_n.0
29,30.000,side_flow_s_n.1,31.598,0.000,turn01,216.258,4.000,follow_free
29,30.000,side_flow_n_s.2,30.799,4.837,side_flow_s_n.1,37.739,11.437,brake_to_lead:side_flow_s_n.1
29,30.000,side_flow_s_n.2,24.597,0.000,side_flow_n_s.2,44.718,4.000,follow_free
29,30.000,side_flow_s_n.3,17.596,0.000,side_flow_s_n.2,7.001,4.000,follow_free
29,30.000,side_flow_n_s.0,13.085,1.849,side_flow_s_n.3,9.476,6.228,follow_free
29,30.000,side_flow_s_n.4,10.594,0.003,side_flow_n_s.0,16.239,4.003,follow_free
30,31.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
30,31.000,main_flow_e_w.3,238.985,3.259,main_flow_e_w.0,4.261,8.439,brake_to_lead:main_flow_e_w.0
30,31.000,main_flow_e_w.1,234.798,0.000,main_flow_e_w.3,5.270,4.000,follow_free
30,31.000,main_flow_e_w.4,228.725,1.124,main_flow_e_w.1,6.864,5.265,follow_free
30,31.000,main_flow_e_w.2,227.797,0.200,main_flow_e_w.4,3.332,4.205,brake_close_to:main_flow_e_w.4
30,31.000,main_flow_e_w.5,217.236,6.097,main_flow_e_w.2,10.561,14.226,brake_to_lead:main_flow_e_w.2
30,31.000,main_flow_e_w.7,199.839,9.375,main_flow_e_w.5,17.689,23.140,brake_close_to:main_flow_e_w.5
30,31.000,leader,143.919,0.000,,,4.000,leader_state:stopped
30,31.000,main_flow_e_w.6,109.749,3.235,leader,246.520,8.397,brake_to_lead:leader
30,31.000,main_flow_e_w.8,84.842,10.287,main_flow_e_w.6,24.907,26.043,brake_to_lead:main_flow_e_w.6
30,31.000,side_flow_n_s.1,38.599,0.000,main_flow_e_w.8,166.889,4.000,follow_free
30,31.000,side_flow_s_n.0,38.599,0.000,side_flow_n_s.1,23.025,4.000,follow_free
30,31.000,turn01,34.820,1.429,side_flow_s_n.0,214.194,5.656,follow_free
30,31.000,side_flow_n_s.2,31.598,0.799,turn01,217.207,4.870,follow_free
30,31.000,side_flow_s_n.1,31.598,0.000,side_flow_n_s.2,36.943,4.000,follow_free
30,31.000,side_flow_s_n.2,24.597,0.000,side_flow_s_n.1,7.001,4.000,follow_free
30,31.000,side_flow_s_n.3,17.596,0.000,side_flow_s_n.2,7.001,4.000,follow_free
30,31.000,side_flow_n_s.0,16.543,3.458,side_flow_s_n.3,6.330,8.787,brake_to_lead:side_flow_s_n.3
30,31.000,side_flow_s_n.4,10.595,0.000,side_flow_n_s.0,12.866,4.000,follow_free
31,32.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
31,32.000,main_flow_e_w.3,241.158,2.173,main_flow_e_w.0,3.264,6.697,brake_to_lead:main_flow_e_w.0
31,32.000,main_flow_e_w.1,234.798,0.000,main_flow_e_w.3,7.120,4.000,follow_free
31,32.000,main_flow_e_w.4,231.760,3.035,main_flow_e_w.1,4.412,8.059,brake_to_lead:main_flow_e_w.1
31,32.000,main_flow_e_w.2,227.797,0.000,main_flow_e_w.4,5.094,4.000,follow_free
31,32.000,main_flow_e_w.5,220.796,3.560,main_flow_e_w.2,7.001,8.968,brake_to_lead:main_flow_e_w.2
31,32.000,main_flow_e_w.7,207.339,7.500,main_flow_e_w.5,13.833,17.750,brake_to_lead:main_flow_e_w.5
31,32.000,leader,143.919,0.000,,,4.000,leader_state:stopped
31,32.000,main_flow_e_w.6,111.905,2.156,leader,244.365,6.673,brake_to_lead:leader
31,32.000,main_flow_e_w.8,92.777,7.936,main_flow_e_w.6,19.393,18.933,brake_to_lead:main_flow_e_w.6
31,32.000,side_flow_n_s.1,38.599,0.000,main_flow_e_w.8,159.125,4.000,follow_free
31,32.000,side_flow_s_n.0,38.599,0.000,side_flow_n_s.1,23.025,4.000,follow_free
31,32.000,turn01,38.130,3.311,side_flow_s_n.0,210.893,8.528,brake_to_lead:side_flow_s_n.0
31,32.000,side_flow_n_s.2,31.598,0.000,turn01,213.903,4.000,follow_free
31,32.000,side_flow_s_n.1,31.598,0.000,side_flow_n_s.2,36.943,4.000,follow_free
31,32.000,side_flow_s_n.2,24.597,0.000,side_flow_s_n.1,7.001,4.000,follow_free
31,32.000,side_flow_n_s.0,18.849,2.306,side_flow_s_n.2,5.003,6.896,brake_to_lead:side_flow_s_n.2
31,32.000,side_flow_s_n.3,17.596,0.000,side_flow_n_s.0,4.494,4.000,follow_free
31,32.000,side_flow_s_n.4,10.595,0.000,side_flow_s_n.3,7.001,4.000,follow_free
32,33.000,main_flow_e_w.3,241.799,0.641,,,4.687,free
32,33.000,main_flow_e_w.0,241.799,0.000,main_flow_e_w.3,3.200,4.000,brake_close_to:main_flow_e_w.3
32,33.000,main_flow_e_w.1,234.798,0.000,main_flow_e_w.0,7.001,4.000,follow_free
32,33.000,main_flow_e_w.4,233.784,2.023,main_flow_e_w.1,3.357,6.478,brake_to_lead:main_flow_e_w.1
32,33.000,main_flow_e_w.2,227.797,0.000,main_flow_e_w.4,6.788,4.000,follow_free
32,33.000,main_flow_e_w.5,220.796,0.000,main_flow_e_w.2,7.001,4.000,follow_free
32,33.000,main_flow_e_w.7,213.525,6.187,main_flow_e_w.5,7.944,14.439,brake_to_lead:main_flow_e_w.5
32,33.000,leader,143.919,0.000,,,4.000,leader_state:stopped
